,record_name,ref_code,ref_name,ref_unit
23,Аэратор кровельный ТехноНИКОЛЬ 160х460 мм. Срок поставки 3-4 раочих дня,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
24,Аэратор кровельный ТехноНИКОЛЬ ЭКО 160x450мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
25,Аэратор кровельный ТехноНИКОЛЬ ЭКО 160x460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
26,"Аэратор Поливент СУПЕР d-160 мм, высота 470 мм ( в уп.4 шт.)",22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
27,"Аэратор Поливент Супер д-160 мм,высота 470 мм",22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
28,"Волма Монтаж Гипсовая клеевая смесь, 30 кг (45шт/под)",23.62.10.000.05.3.01.01-1000-000,"База гипсовая гладкая под колонну, высота от 251 до 400 мм",шт
29,"Шпаклевка гипсовая ""Профи База"" De Luxe 25 кг",23.62.10.000.05.3.01.01-1000-000,"База гипсовая гладкая под колонну, высота от 251 до 400 мм",шт
30,Балка 14 Б1,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
31,"Балка 14 Б1 (1 шт = 129 кг, L = 12 000 мм)",25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
32,"Балка 14 Б1 (12м=131кг,СтЗпс)",25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
33,Балка 14 Б1 L=12000мм,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
34,Балка 14 Б1 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
35,Балка 20 Б1,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
36,"Балка 20 Б1, С255",25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
37,"Балка 20 Б1, стО9Г2С",25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
38,Балка двутавровая №14 Б1,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
39,Балка монолитная БМ1 (7500x500x400) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
40,Балка монолитная БМ2 (6000x500x400) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
41,Балка монолитная БМ2(6000*500*400) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
42,Балка монолитная БМ7 (5500x500x350) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
43,Балка монолитная БМ7(5500*500*350) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
44,Балка монолитная БМЗ (5000x500x300) В25,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
45,Балка монолитная БМ4 (3500x500x200) В20,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
46,Балка монолитная БМ4(3500*500*200) В20,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
47,Балка монолитная БМ5 (2500x500x200) В20,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
48,Балка монолитная БМ5(2500*500*200) В20,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
49,"Бетононасос 120 подача бетона, раствора",28.13.11.140.91.07.11-570-000,"Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч",шт
50,"Бетононасос 688 подача бетона, раствора",28.13.11.140.91.07.11-570-000,"Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч",шт
51,120808-00041 Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
52,"Комплект маркировочный КМП для кабеля, бирки 90x20x2, пластмасса, черный (50 комплектов + 1 маркер) 120808-00041 (СвязьСтройДеталь)",22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
53,Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
54,Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД — 14 дней —,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
55,Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД — в наличии —,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
56,Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД— в наличии —,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
57,Дверь межкомнатная глухая финиш-бумага ламинация цвет белый 90x200 мм,25.12.10.000.07.1.01.01-0022-000,"Блок дверной металлический противопожарный двупольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1300х2100 мм",шт
58,(ДМ-2)  дверь металлическая Комплект фурнитуры по ТЗ,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
59,(ДПМ-1 EI-60)  дверь металлическая противопожарная Комплект фурнитуры по ТЗ,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
60,(ДПМ-1 EI-60)  дверь металлическая противопожарная Комплект фурнитуры по ТЗ Подготовка под ЭМЗ,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
61,Двери противопожарные 1200x2100. Без учета монтажа.,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
62,Двери противопожарные 1200х2100. Без учета монтажа.,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
63,Дверь входная металлическая металл/металл 2050х960х45 мм правая,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
64,"Дверь металлическая, наруж., двупол. 1500*2100",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
65,"Дверь металлическая, однопол., пр. 1050*2100",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
66,"Дверь металлическая, однопол., пр. 1070*2110",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
67,"Дверь металлическая, однопол., пр. 900*1300",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
68,"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1010*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL9010, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
69,"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1040*2090(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL9010, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
70,"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1060*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL7016, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик, вент.решетка 600*200(5) мм",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
71,"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1060*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL7016, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
72,Лестница металлическая ВЛ-3 (покраска ГФ021 два слоя),25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
73,Накладка дверная Фабрика замков Е 002 алюминий,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
74,"1100х2100, Дверь наружная, однопольная стальная глухая правая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016",25.12.10.000.07.1.01.01-1010-000,"Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм",шт
75,"1050х2100, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0026-000,"Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм",шт
76,"1070х2110, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0026-000,"Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм",шт
77,"900х1300, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0026-000,"Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм",шт
78,"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 130 мм",25.12.10.000.07.1.01.01-0010-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм",шт
79,"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 130-250 мм",25.12.10.000.07.1.01.01-0010-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм",шт
80,"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 250 мм",25.12.10.000.07.1.01.01-0010-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм",шт
81,"Дверь влагостойкая однопольная,левая 1050x2100 толщина стены 250 мм",25.12.10.000.07.1.01.01-0010-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм",шт
82,"Дверь противопожарная 2100*900 мм (правая, 7035, с наличником, с порогом, размер по коробке)",25.12.10.000.07.1.01.01-0011-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х1600 мм",шт
83,Дверной блок металлический технический 2100*1100 Ral 7016 Правый,25.12.10.000.07.1.01.01-0021-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 60, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм",шт
84,Дверной блок металлический технический АП 2100*1500 Ral 7016 Левый,25.12.10.000.07.1.01.01-0021-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 60, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм",шт
85,Дверной блок металлический технический усиленный 2100*1100 Ral 7016 Правый,25.12.10.000.07.1.01.01-0021-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 60, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм",шт
86,ФБС9.3.6-т Блоки бетонные для стен и подвалов,23.61.11.190.05.2.02.01-0051-004,"Блок железобетонный для стен подвалов полнотелый ФБС9-5-6-Т, бетон В7,5, объем 0,244 м3, расход арматуры 0,76 кг",м3
87,БЛОК ПВХ ОКОННЫЙ белый (14 шт),22.23.14.120.11.3.02.01-0001-000,"Блок оконный из ПВХ-профиля двустворчатый, глухой, с двухкамерным стеклопакетом толщиной 32 мм, площадь более 3 м2",м2
88,БЛОК ПВХ ОКОННЫЙ белый/белый с однокамерным ст/пакетом,22.23.14.120.11.3.02.01-0007-000,"Блок оконный из ПВХ-профиля двустворчатый, глухой, с однокамерным стеклопакетом толщиной 24 мм, площадь более 3,5 м2",м2
89,Блок ФБС 9.3-6Т,23.61.11.190.05.2.02.01-0001-000,"Блоки железобетонные для стен подвалов пустотные, объем до 0,6 м3, бетон В12,5, расход арматуры до 50 кг/м3",м3
90,"Блоки из пеностекла, кашированные стеклохолстом НЕОПОРМ D130 600x450x130",23.19.12.160.01.8.01.01-0001-000,"Блоки из пеностекла, плотность не более 200 кг/м3",м3
91,"Теплоизоляционные блоки из пеностекла ""Изостек"" 600*500*130 мм, кэшированные битумом с одной стороны (ТУ 23.99.19-001 -10196323-2017)",23.19.12.160.01.8.01.01-0001-000,"Блоки из пеностекла, плотность не более 200 кг/м3",м3
92,Блоки из ячеистого бетона D600 (100х250х600 мм),23.61.11.190.05.2.02.09-0015-000,"Блоки из ячеистых бетонов стеновые 1 категории, объемная масса 600 кг/м3, класс В2",м3
93,Блоки из ячеистого бетона D600 (150х250х600 мм),23.61.11.190.05.2.02.09-0015-000,"Блоки из ячеистых бетонов стеновые 1 категории, объемная масса 600 кг/м3, класс В2",м3
94,Блоки из ячеистого бетона D600 (200х250х600 мм),23.61.11.190.05.2.02.09-0015-000,"Блоки из ячеистых бетонов стеновые 1 категории, объемная масса 600 кг/м3, класс В2",м3
95,Блоки из ячеистого бетона D600 (400х250х600 мм),23.61.11.190.05.2.02.09-0015-000,"Блоки из ячеистых бетонов стеновые 1 категории, объемная масса 600 кг/м3, класс В2",м3
96,"Бобышка сталь №5 БП-ТМ-30 для манометра вварная прямая G1/2"" L=30mm ВР Роома 00000024764",25.11.23.119.26.1.01.07-0001-000,Бобышка прямая БМ20,шт
97,Болт М20,25.94.11.110.01.7.15.02-0053-000,"Болт анкерный с гайкой стальной фрикционный расклинивающийся, с наружной резьбой М20, диаметр 28 мм, длина 60 мм",шт
98,Болт анкерный М 16x1 80 оцинк.,25.94.11.110.01.7.15.02-0054-000,Болты анкерные оцинкованные,кг
99,Болт анкерный М 16x140 оцинк.,25.94.11.110.01.7.15.02-0054-000,Болты анкерные оцинкованные,кг
100,Болт анкерный М 16x180 оцинк.,25.94.11.110.01.7.15.02-0054-000,Болты анкерные оцинкованные,кг
101,"Болт DIN 933 с полн. рез., цинк, М10*35",25.94.11.110.01.7.15.02-0021-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М10, диаметр 12 мм, длина 120 мм",100 шт
102,"Болт DIN 933 с полн. рез., цинк, М10*50",25.94.11.110.01.7.15.02-0021-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М10, диаметр 12 мм, длина 120 мм",100 шт
103,Болт М10*60 полнонарезной DIN933 цинк.,25.94.11.110.01.7.15.02-0021-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М10, диаметр 12 мм, длина 120 мм",100 шт
104,Болт анкерный М16х 80 (HG) с крюком М12 оцинк.,25.94.11.110.01.7.15.02-0042-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М12, диаметр 16 мм, длина 110 мм",100 шт
105,Болт анкерный М16х130 (HG) с крюком М12 оцинк.,25.94.11.110.01.7.15.02-0042-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М12, диаметр 16 мм, длина 110 мм",100 шт
106,"Framini анкерная гайка 15,0",25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
107,SWFS Анкерный болт с гайкой 16x150 15шт тов-071339,25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
108,"Анкерная гайка 15,0",25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
109,Анкерный болт R-XPT-08085/20 (100шт),25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
110,Анкерный болт КТ 16х150,25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
111,Анкерный болт с гайкой 20*200,25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
112,Анкерный болт с гайкой 20Х200,25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
113,Анкерный болт с гайкой 8*85,25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
114,Болт анкерный М 16x140 сцинк.,25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
115,Гайка стальная М 8 Оцинкованная,25.94.11.110.01.7.15.02-0001-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм",100 шт
116,Стандартный анкер с болтом М6,25.94.11.110.01.7.15.02-0031-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М6, диаметр 8 мм, длина 40 мм",100 шт
117,Усиленный анкер с болтом М6,25.94.11.110.01.7.15.02-0031-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М6, диаметр 8 мм, длина 40 мм",100 шт
